2,23,108,18,
111,21,105,20,P
219,22,105,18,S
324,22,103,19,M
429,23,103,17,L
1,41,108,20,UNITED STATES
3,64,108,18,GREAT BRITAIN
1,86,110,19,ITALY
1,106,110,20,FRANCE
2,128,110,19,JAPAN
2,148,107,19,AUSTRALIA
110,42,54,20,0
165,41,49,21,2
110,62,52,20,2
164,62,53,22,4
218,42,53,18,4
112,83,50,21,34
164,84,52,20,36
112,105,54,19,30
167,105,47,18,32
112,125,49,19,3
164,125,51,19,5
164,146,53,19,6
112,146,50,18,4
273,41,46,20,6
216,61,53,20,6
271,62,50,20,8
324,41,49,22,8
218,145,51,20,8
220,125,49,19,7
270,126,49,21,9
218,83,53,20,38
217,104,53,21,34
271,105,51,19,36
271,82,52,22,40
270,148,52,18,10
326,64,48,17,10
326,85,48,18,42
323,104,51,21,38
324,127,51,18,11
324,146,52,17,12
376,43,53,17,10
375,62,51,20,12
377,84,51,20,44
378,105,49,18,40
378,124,51,21,13
379,147,47,18,14
431,42,48,19,12
483,41,52,20,14
430,61,50,20,14
482,62,51,19,16
429,83,53,21,46
484,82,49,22,48
431,105,49,18,42
484,106,49,17,46
430,126,50,18,15
483,126,52,21,17
429,147,48,18,16
483,149,51,16,18
