1,1,103,38,Types of Beverages
105,0,248,37,How Dark the Shade and Stain is From the Beverages
355,0,44,38,Mean
401,1,50,36,Range
0,39,105,19,
107,39,44,17,Trial 1
155,39,46,16,Trial 2
204,38,48,19,Trial 3
254,39,49,17,Trial 4
305,40,50,17,Trial 5
356,41,41,15,
401,40,46,17,
1,58,104,17,Coke
1,77,103,20,Moxie
1,97,101,16,Sprite
2,114,102,17,Mountain Dew
1,133,105,17,Coffee
105,56,49,19,8
356,58,42,17,8
357,77,41,16,8
256,133,48,17,8
155,57,49,18,9
206,58,47,18,9
303,59,50,16,9
106,77,46,16,9
255,76,48,18,9
153,132,50,18,9
356,133,43,18,9
305,76,49,18,7
255,58,47,18,6
400,76,48,18,6
108,94,44,19,6
154,96,49,16,5
255,95,49,19,5
306,95,48,17,5
355,94,43,18,5
154,115,50,16,5
203,78,50,17,4
205,96,48,17,4
104,116,48,15,4
255,114,48,18,4
304,113,51,19,4
355,114,44,17,4
402,57,45,19,3
400,114,48,19,3
400,95,47,18,2
400,135,49,15,2
205,114,49,16,2
152,77,51,19,10
106,132,46,18,10
203,131,48,20,10
305,134,50,17,10
