61,67,24,14,X
87,67,22,17,1
63,83,20,16,1
112,66,20,17,2
62,99,23,14,2
134,65,23,17,3
62,115,24,16,3
160,66,20,18,4
62,131,23,16,4
182,66,20,17,5
64,148,20,14,5
203,66,23,16,6
62,164,22,14,6
230,66,21,16,7
63,180,21,13,7
252,66,22,16,8
63,195,21,14,8
276,67,21,15,9
62,211,23,15,9
299,67,23,16,10
324,66,21,15,11
347,66,22,15,12
62,226,21,15,10
61,240,24,17,11
61,258,23,16,12
86,85,24,13,
112,84,22,15,
134,83,23,17,
158,85,21,13,
182,85,20,12,
205,83,22,16,
228,83,21,16,
252,84,20,15,
277,83,22,16,
301,84,20,15,
324,84,21,15,
346,83,21,14,
87,100,23,15,
109,99,24,15,
134,100,22,15,
157,100,23,15,
182,98,20,16,
205,99,22,16,
227,100,24,16,
253,101,21,14,
276,99,22,15,
301,100,21,14,
323,100,22,15,
347,99,22,15,
87,117,21,15,
111,116,21,15,
132,115,22,15,
158,117,23,15,
182,116,20,15,
204,114,23,17,
229,116,22,16,
254,116,19,15,
274,116,23,14,
299,117,24,14,
324,116,20,15,
346,115,23,16,
87,132,23,13,
110,132,21,14,
133,132,22,14,
157,131,24,16,
182,132,21,15,
203,132,23,14,
229,133,21,13,
252,131,24,17,
277,131,22,15,
300,132,22,14,
324,132,20,15,
348,132,23,16,
86,148,22,16,
110,148,23,15,
135,150,21,12,
157,150,25,13,
182,147,22,16,
204,147,22,15,
230,149,20,14,
253,148,21,14,
274,148,24,15,
300,148,24,15,
325,147,20,17,
346,149,21,14,
87,164,22,14,
111,164,22,14,
134,164,22,14,
157,163,22,13,
181,164,23,14,
202,163,25,15,
229,164,23,14,
253,165,20,12,
275,165,24,14,
301,163,20,16,
323,163,22,15,
347,166,22,11,
86,178,24,16,
112,178,22,16,
134,178,24,15,
159,178,22,15,
181,179,22,14,
204,179,22,14,
228,179,22,15,
252,178,23,18,
276,180,21,14,
300,181,21,15,
322,179,24,15,
347,179,23,15,
86,195,22,14,
109,195,24,14,
134,196,21,13,
157,196,23,14,
181,195,21,14,
203,195,23,14,
227,194,22,16,
253,197,23,16,
277,195,20,14,
300,198,22,11,
325,196,19,13,
346,195,24,14,
87,210,23,15,
111,211,24,14,
135,211,21,14,
157,211,23,14,
182,212,21,15,
205,211,20,14,
226,210,23,18,
253,213,21,13,
277,213,22,13,
299,210,25,15,
324,210,20,16,
347,212,22,14,
86,226,24,13,
110,227,23,14,
134,228,22,12,
159,228,22,15,
182,227,20,16,
204,226,24,17,
229,228,22,14,
253,227,21,14,
275,227,23,14,
298,228,26,12,
323,227,23,15,
347,227,23,14,
86,243,22,14,
112,242,20,15,
134,242,22,14,
157,242,23,15,
181,243,22,13,
204,244,23,13,
227,243,23,14,
253,242,20,14,
274,243,24,14,
299,243,23,14,
322,242,25,16,
348,241,22,17,
86,260,25,13,
111,258,23,14,
134,258,22,13,
158,259,23,15,
182,258,21,15,
205,257,23,15,
228,257,24,16,
253,258,22,16,
275,258,24,15,
300,258,22,14,
324,258,21,15,
346,258,24,16,
