2,1,194,44,
197,3,195,43,Lobos Pond
392,3,194,42,Las Garzas Stream
0,46,195,42,pH
2,88,194,42,TDS (g/l)
1,131,195,41,T N (mg N/l)
1,172,194,42,T P (mg P/l)
1,215,194,41,T N/T P atomic ratio
2,257,192,42,Secchi disk depth (m)
2,299,196,41,Seston (mg/l)
1,342,194,40,Chlorophyll a (µg/l)
196,46,196,41,8.40
393,46,192,41,8.61
198,89,193,42,1.4
393,88,191,40,3.2
392,130,194,40,1.3
197,131,192,41,2.0
196,174,194,40,0.36
391,173,194,40,0.46
197,214,193,40,12.3
391,215,194,40,6.3
199,257,192,43,0.18
391,257,196,40,0.24
199,300,191,41,90.5
392,299,194,43,49.4
197,341,194,40,115.8
392,344,194,37,-
