7,17,369,40,Table 2.2 Calculation of the standard deviation from qualitative discrete data
10,60,100,62,(1) Number of visits to or by doctor
117,60,75,62,(2) Number of children
197,60,49,62,(3) Col (2) x Col (1)
252,60,66,62,(4) Col (1) squared
323,61,53,62,(5) Col (2) x Col (4)
10,127,99,23,0
196,126,51,24,0
250,125,70,26,0
322,127,56,24,0
11,153,100,25,1
252,154,67,23,1
117,307,77,23,1
116,126,76,23,2
115,151,76,25,8
195,152,51,24,8
322,152,57,24,8
9,177,104,28,2
116,178,78,26,27
196,177,51,27,54
249,180,70,23,4
321,178,54,25,108
10,206,103,22,3
118,206,78,21,45
196,204,53,24,135
250,207,69,22,9
322,205,54,23,405
11,229,101,25,4
118,228,74,26,38
195,229,51,23,152
250,230,69,24,16
323,231,56,21,608
10,257,102,21,5
113,253,80,26,15
196,257,51,22,75
251,256,72,26,25
323,257,53,22,375
7,281,105,27,6
114,280,78,25,4
195,282,53,24,24
251,284,69,23,36
323,282,53,21,144
10,309,104,21,7
195,308,55,23,7
251,308,68,22,49
322,307,55,24,49
10,332,100,23,Total
114,332,79,23,140
196,333,51,24,455
251,333,71,22,
323,333,55,24,1697
9,358,370,23,Mean number of visits = 455/140 = 3.25.
