53,218,49,39,X
106,219,51,39,1
52,260,53,43,1
158,218,53,40,2
52,304,51,41,2
211,219,52,40,3
52,346,51,40,3
264,218,52,43,4
53,388,49,40,4
317,218,50,41,5
53,431,51,40,5
369,219,53,41,6
52,472,51,41,6
422,220,52,41,7
52,515,52,39,7
475,219,53,39,8
53,558,50,40,8
528,219,50,41,9
54,600,51,38,9
581,219,50,40,10
633,217,51,41,11
686,219,50,39,12
54,641,51,42,10
54,684,49,38,11
51,725,54,42,12
106,261,52,41,
159,262,51,42,
211,262,50,39,
264,263,51,40,
316,261,53,41,
369,263,52,39,
423,262,49,39,
475,263,52,40,
529,262,51,41,
581,262,53,41,
634,263,54,40,
689,262,48,42,
107,304,50,42,
157,303,53,42,
213,305,51,41,
264,304,51,41,
318,303,49,41,
371,304,49,41,
423,305,49,40,
475,305,51,39,
527,304,53,42,
581,304,52,40,
634,303,50,42,
685,304,52,40,
107,346,50,40,
157,348,51,41,
211,348,51,39,
263,346,53,40,
316,345,53,41,
370,347,50,40,
423,346,50,40,
474,345,53,40,
529,347,49,42,
580,347,50,40,
635,346,48,42,
686,346,49,39,
107,387,49,41,
158,390,51,38,
210,388,51,41,
264,388,50,41,
317,389,51,38,
370,389,52,40,
421,388,51,40,
474,388,54,41,
529,389,51,39,
581,388,50,40,
633,390,51,40,
688,389,48,41,
106,431,52,41,
158,431,51,41,
212,431,48,38,
261,431,54,41,
316,431,51,40,
369,431,52,40,
424,431,50,40,
475,433,51,38,
528,432,49,38,
580,433,54,39,
632,429,54,43,
687,430,51,40,
106,474,50,39,
157,473,53,40,
211,473,51,40,
265,473,49,41,
317,475,51,36,
369,475,51,36,
422,472,52,40,
474,473,52,38,
527,474,52,37,
581,473,52,40,
635,473,51,39,
686,471,52,42,
106,515,51,40,
158,517,52,37,
210,514,53,41,
264,515,53,40,
318,516,50,38,
371,514,50,41,
423,515,50,40,
476,513,50,40,
528,513,54,42,
583,515,48,40,
633,515,51,40,
687,514,51,41,
107,558,49,40,
158,557,52,40,
211,555,50,42,
264,556,51,41,
317,557,52,41,
369,557,52,42,
423,557,51,41,
476,556,51,41,
529,557,50,41,
581,556,51,41,
632,557,53,42,
687,558,51,39,
106,601,50,38,
158,601,51,38,
212,600,49,39,
264,599,49,42,
316,599,53,39,
371,600,51,39,
421,599,53,44,
477,600,51,41,
528,601,51,39,
580,600,53,39,
633,600,51,39,
686,599,52,42,
106,642,51,40,
159,642,50,40,
210,641,53,40,
265,642,48,39,
317,642,50,40,
370,641,49,40,
423,643,54,40,
475,642,50,39,
528,643,50,38,
581,642,50,37,
635,641,50,42,
685,642,52,40,
106,685,50,38,
159,685,50,39,
209,683,54,41,
263,682,52,42,
316,684,51,38,
369,684,50,37,
422,683,54,41,
476,684,51,39,
528,682,52,41,
581,682,51,42,
635,684,50,40,
686,683,53,41,
105,725,55,43,
160,727,49,38,
211,724,51,42,
264,726,49,42,
318,725,49,41,
370,724,50,41,
422,726,53,41,
476,726,52,38,
528,726,50,40,
581,726,52,41,
634,726,51,40,
686,725,50,40,
